t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.000,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.052,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.031,-0.000,0.000,0.000
2.110,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.066,-0.000,0.000,0.000
2.165,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.099,-0.000,0.000,0.000
2.218,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.131,-0.000,0.000,0.000
2.269,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.161,-0.000,0.000,0.000
2.322,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.193,-0.000,0.000,0.000
2.373,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.224,-0.000,0.000,0.000
2.431,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.258,-0.000,0.000,0.000
2.481,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.288,-0.000,0.000,0.000
2.531,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.319,-0.000,0.000,0.000
2.582,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.349,-0.000,0.000,0.000
2.634,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.380,-0.000,0.000,0.000
2.691,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.415,-0.000,0.000,0.000
2.743,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.445,-0.000,0.000,0.000
2.802,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.481,-0.000,0.000,0.000
2.854,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.512,-0.000,0.000,0.000
2.906,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.544,-0.000,0.000,0.000
2.957,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.574,-0.000,0.000,0.000
3.013,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.608,-0.000,0.000,0.000
