t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.004,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.054,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.030,-0.000,0.000,0.000
2.105,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.061,-0.000,0.000,0.000
2.157,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.092,-0.000,0.000,0.000
2.208,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.123,-0.000,0.000,0.000
2.260,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.154,-0.000,0.000,0.000
2.310,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.184,-0.000,0.000,0.000
2.360,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.214,-0.000,0.000,0.000
2.413,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.246,-0.000,0.000,0.000
2.464,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.276,-0.000,0.000,0.000
2.514,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.306,-0.000,0.000,0.000
2.567,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.338,-0.000,0.000,0.000
2.621,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.371,-0.000,0.000,0.000
2.673,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.402,-0.000,0.000,0.000
2.724,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.432,-0.000,0.000,0.000
2.778,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.465,-0.000,0.000,0.000
2.829,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.495,-0.000,0.000,0.000
2.880,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.526,-0.000,0.000,0.000
2.931,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.557,-0.000,0.000,0.000
2.982,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.587,-0.000,0.000,0.000
3.032,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.617,-0.000,0.000,0.000
3.084,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.648,-0.000,0.000,0.000
3.139,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.681,-0.000,0.000,0.000
3.189,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.711,-0.000,0.000,0.000
3.240,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.742,-0.000,0.000,0.000
3.291,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.773,-0.000,0.000,0.000
3.342,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.394,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.448,takeoff,0.000,0.001,0.087,0.000,0.000,0.047,0.000,0.001,0.088,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.499,takeoff,0.000,0.001,0.087,0.000,0.000,0.047,0.000,0.001,0.094,0.00,-0.00,0.00,0.799,-0.000,0.000,0.000
3.550,takeoff,0.000,0.001,0.098,0.000,0.000,0.182,0.000,0.001,0.103,0.00,-0.00,0.00,0.795,-0.000,0.000,0.000
3.600,takeoff,0.000,0.001,0.098,0.000,0.000,0.182,0.000,0.001,0.116,0.00,-0.00,0.00,0.794,-0.000,0.000,0.000
3.652,takeoff,0.000,0.001,0.124,0.000,0.000,0.329,0.000,0.001,0.133,0.00,-0.00,0.00,0.788,-0.000,0.000,0.000
3.705,takeoff,0.000,0.001,0.124,0.000,0.000,0.329,0.000,0.001,0.162,0.00,-0.00,0.00,0.786,-0.000,0.000,0.000
3.759,takeoff,0.000,0.001,0.164,0.000,0.000,0.470,0.000,0.001,0.187,0.00,-0.00,0.00,0.779,-0.000,0.000,0.000
3.811,takeoff,0.000,0.001,0.217,0.000,0.000,0.599,0.000,0.001,0.216,0.00,-0.00,0.00,0.770,-0.000,0.000,0.000
3.864,takeoff,0.000,0.001,0.217,0.000,0.000,0.599,0.000,0.001,0.248,0.00,-0.00,0.00,0.766,-0.000,0.000,0.000
