t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.002,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.054,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.031,-0.000,0.000,0.000
2.104,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.061,-0.000,0.000,0.000
2.158,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.093,-0.000,0.000,0.000
2.209,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.124,-0.000,0.000,0.000
2.261,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.155,-0.000,0.000,0.000
2.311,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.185,-0.000,0.000,0.000
2.363,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.216,-0.000,0.000,0.000
2.415,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.248,-0.000,0.000,0.000
2.466,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.278,-0.000,0.000,0.000
2.521,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.311,-0.000,0.000,0.000
2.573,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.342,-0.000,0.000,0.000
2.624,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.373,-0.000,0.000,0.000
2.674,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.403,-0.000,0.000,0.000
2.725,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.433,-0.000,0.000,0.000
2.777,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.465,-0.000,0.000,0.000
2.832,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.498,-0.000,0.000,0.000
2.883,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.528,-0.000,0.000,0.000
2.935,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.560,-0.000,0.000,0.000
2.986,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.590,-0.000,0.000,0.000
3.037,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.621,-0.000,0.000,0.000
3.091,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.653,-0.000,0.000,0.000
3.144,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.685,-0.000,0.000,0.000
3.194,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.715,-0.000,0.000,0.000
3.246,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.746,-0.000,0.000,0.000
3.297,takeoff,0.000,0.000,0.071,0.000,0.000,0.004,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.777,-0.000,0.000,0.000
3.350,takeoff,0.000,0.000,0.071,0.000,0.000,0.004,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.403,takeoff,0.000,0.000,0.073,0.000,0.000,0.056,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.457,takeoff,0.000,0.000,0.073,0.000,0.000,0.056,0.000,0.000,0.080,0.00,-0.00,0.00,0.00,-0.00,0.799,-0.000,0.000,0.000
3.512,takeoff,0.000,0.000,0.085,0.000,0.000,0.184,0.000,0.000,0.088,0.00,-0.00,0.00,0.00,-0.00,0.795,-0.000,0.000,0.000
3.563,takeoff,0.000,0.000,0.085,0.000,0.000,0.184,0.000,0.000,0.101,0.00,-0.00,0.00,0.00,-0.00,0.794,-0.000,0.000,0.000
3.616,takeoff,0.000,0.000,0.111,0.000,0.000,0.331,0.000,0.000,0.118,0.00,-0.00,0.00,0.00,-0.00,0.788,-0.000,0.000,0.000
3.666,takeoff,0.000,0.000,0.111,0.000,0.000,0.331,0.000,0.000,0.138,0.00,-0.00,0.00,0.00,-0.00,0.786,-0.000,0.000,0.000
3.717,takeoff,0.000,0.000,0.151,0.000,0.000,0.475,0.000,0.000,0.162,0.00,-0.00,0.00,0.00,-0.00,0.779,-0.000,0.000,0.000
3.768,takeoff,0.000,0.000,0.151,0.000,0.000,0.475,0.000,0.000,0.189,0.00,-0.00,0.00,0.00,-0.00,0.776,-0.000,0.000,0.000
3.820,takeoff,0.000,0.000,0.206,0.000,0.000,0.608,0.000,0.000,0.220,0.00,-0.00,0.00,0.00,-0.00,0.769,-0.000,0.000,0.000
3.875,takeoff,0.000,0.000,0.206,0.000,0.000,0.608,0.000,0.000,0.254,0.00,-0.00,0.00,0.00,-0.00,0.766,-0.000,0.000,0.000
3.926,takeoff,0.000,0.000,0.273,0.000,0.000,0.727,0.000,0.000,0.288,0.00,-0.00,0.00,0.00,-0.00,0.760,-0.000,0.000,0.000
3.977,takeoff,0.000,0.000,0.273,0.000,0.000,0.727,0.000,0.000,0.328,0.00,-0.00,0.00,0.00,-0.00,0.757,-0.000,0.000,0.000
4.032,takeoff,0.000,0.000,0.351,0.000,0.000,0.828,0.000,0.000,0.370,0.00,-0.00,0.00,-0.00,-0.00,0.751,-0.000,0.000,0.000
4.083,takeoff,0.000,0.000,0.351,0.000,0.000,0.828,0.000,0.000,0.414,0.00,-0.00,0.00,-0.00,-0.00,0.749,-0.000,0.000,0.000
4.133,takeoff,0.000,0.000,0.438,0.000,0.000,0.915,0.000,0.000,0.461,0.00,-0.00,0.00,-0.00,-0.00,0.744,-0.000,0.000,0.000
4.188,takeoff,0.000,0.000,0.438,0.000,0.000,0.915,0.000,0.000,0.510,0.00,-0.00,0.00,-0.00,-0.00,0.742,-0.000,0.000,0.000
4.240,takeoff,0.000,0.000,0.533,0.000,0.000,0.992,0.000,0.000,0.560,0.00,-0.00,0.00,-0.00,-0.00,0.737,-0.000,0.000,0.000
4.293,takeoff,0.000,0.000,0.533,0.000,0.000,0.992,0.000,0.000,0.613,0.00,-0.00,0.00,-0.00,-0.00,0.735,-0.000,0.000,0.000
4.344,takeoff,0.000,0.000,0.636,0.000,0.000,1.058,0.000,0.000,0.667,0.00,-0.00,0.00,-0.00,-0.00,0.731,-0.000,0.000,0.000
4.396,takeoff,0.000,0.000,0.636,0.000,0.000,1.058,0.000,0.000,0.722,0.00,-0.00,0.00,-0.00,-0.00,0.729,-0.000,0.000,0.000
4.449,takeoff,0.000,0.000,0.745,0.000,0.000,1.114,0.000,0.000,0.799,0.00,-0.00,0.00,-0.00,-0.00,0.726,-0.000,0.000,0.000
4.499,takeoff,0.000,0.000,0.745,0.000,0.000,1.114,0.000,0.000,0.857,0.00,-0.00,0.00,-0.00,-0.00,0.724,-0.000,0.000,0.000
4.550,takeoff,0.000,0.000,0.858,0.000,0.000,1.160,0.000,0.000,0.917,0.00,-0.00,0.00,-0.00,-0.00,0.721,-0.000,0.000,0.000
4.602,takeoff,0.000,0.000,0.976,0.000,0.000,1.199,0.000,0.000,0.978,0.00,-0.00,0.00,-0.00,-0.00,0.718,-0.000,0.000,0.000
4.653,takeoff,0.000,0.000,0.976,0.000,0.000,1.199,0.000,0.000,1.039,0.00,-0.00,0.00,-0.00,-0.00,0.716,-0.000,0.000,0.000
4.704,takeoff,0.000,0.000,1.098,0.000,0.000,1.229,0.000,0.000,1.102,0.00,-0.00,0.00,-0.00,-0.00,0.714,-0.000,0.000,0.000
4.755,takeoff,0.000,0.000,1.098,0.000,0.000,1.229,0.000,0.000,1.165,0.00,-0.00,0.00,-0.00,-0.00,0.712,-0.000,0.000,0.000
4.809,takeoff,0.000,0.000,1.222,0.000,0.000,1.251,0.000,0.000,1.228,0.00,-0.00,0.00,-0.00,-0.00,0.711,-0.000,0.000,0.000
4.861,takeoff,0.000,0.000,1.222,0.000,0.000,1.251,0.000,0.000,1.292,0.00,-0.00,0.00,-0.00,-0.00,0.710,-0.000,0.000,0.000
4.913,takeoff,0.000,0.000,1.348,0.000,0.000,1.266,0.000,0.000,1.357,0.00,-0.00,0.00,-0.00,-0.00,0.708,-0.000,0.000,0.000
4.967,takeoff,0.000,0.000,1.348,0.000,0.000,1.266,0.000,0.000,1.422,0.00,-0.00,0.00,-0.00,-0.00,0.708,-0.000,0.000,0.000
5.018,takeoff,0.000,0.000,1.475,0.000,-0.000,1.279,0.000,0.000,1.487,0.00,-0.00,0.00,-0.00,-0.00,0.707,-0.000,0.000,0.000
5.068,takeoff,0.000,0.000,1.475,0.000,-0.000,1.279,0.000,0.000,1.552,0.00,-0.00,0.00,-0.00,-0.00,0.706,-0.000,0.000,0.000
5.119,takeoff,0.000,0.000,1.604,0.000,-0.000,1.288,0.000,0.000,1.618,0.00,-0.00,0.00,-0.00,-0.00,0.705,-0.000,0.000,0.000
5.169,takeoff,0.000,0.000,1.604,0.000,-0.000,1.288,0.000,0.000,1.684,0.00,-0.00,0.00,-0.00,-0.00,0.705,-0.000,0.000,0.000
