t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.053,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.031,-0.000,0.000,0.000
2.105,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.062,-0.000,0.000,0.000
2.157,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.093,-0.000,0.000,0.000
2.207,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.123,-0.000,0.000,0.000
2.262,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.156,-0.000,0.000,0.000
2.315,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.188,-0.000,0.000,0.000
2.367,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.219,-0.000,0.000,0.000
2.417,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.249,-0.000,0.000,0.000
2.468,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.280,-0.000,0.000,0.000
2.523,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.313,-0.000,0.000,0.000
2.573,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.343,-0.000,0.000,0.000
2.624,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.374,-0.000,0.000,0.000
2.678,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.406,-0.000,0.000,0.000
2.733,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.439,-0.000,0.000,0.000
2.788,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.472,-0.000,0.000,0.000
2.838,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.502,-0.000,0.000,0.000
2.890,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.533,-0.000,0.000,0.000
2.940,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.563,-0.000,0.000,0.000
2.995,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.596,-0.000,0.000,0.000
3.050,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.629,-0.000,0.000,0.000
3.102,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.660,-0.000,0.000,0.000
3.153,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.691,-0.000,0.000,0.000
3.208,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.724,-0.000,0.000,0.000
3.259,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.754,-0.000,0.000,0.000
3.309,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.785,-0.000,0.000,0.000
3.361,takeoff,0.000,0.000,0.073,0.000,0.000,0.017,0.000,0.000,0.074,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.412,takeoff,0.000,0.000,0.073,0.000,0.000,0.017,0.000,0.000,0.076,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.466,takeoff,0.000,0.000,0.078,0.000,0.000,0.103,0.000,0.000,0.081,0.00,-0.00,0.00,0.797,-0.000,0.000,0.000
3.520,takeoff,0.000,0.000,0.078,0.000,0.000,0.103,0.000,0.000,0.089,0.00,-0.00,0.00,0.798,-0.000,0.000,0.000
3.570,takeoff,0.000,0.000,0.095,0.000,0.000,0.244,0.000,0.000,0.101,0.00,-0.00,0.00,0.793,-0.000,0.000,0.000
3.622,takeoff,0.000,0.000,0.095,0.000,0.000,0.244,0.000,0.000,0.117,0.00,-0.00,0.00,0.791,-0.000,0.000,0.000
3.675,takeoff,0.000,0.000,0.127,0.000,0.000,0.390,0.000,0.000,0.137,0.00,-0.00,0.00,0.785,-0.000,0.000,0.000
3.728,takeoff,0.000,0.000,0.127,0.000,0.000,0.390,0.000,0.000,0.160,0.00,-0.00,0.00,0.782,-0.000,0.000,0.000
3.779,takeoff,0.000,0.000,0.173,0.000,0.000,0.527,0.000,0.000,0.187,0.00,-0.00,0.00,0.776,-0.000,0.000,0.000
3.834,takeoff,0.000,0.000,0.173,0.000,0.000,0.527,0.000,0.000,0.228,0.00,-0.00,0.00,0.773,-0.000,0.000,0.000
3.884,takeoff,0.000,0.000,0.232,0.000,0.000,0.654,0.000,0.000,0.263,0.00,-0.00,0.00,0.766,-0.000,0.000,0.000
3.935,takeoff,0.000,0.000,0.232,0.000,0.000,0.654,0.000,0.000,0.301,0.00,-0.00,0.00,0.764,-0.000,0.000,0.000
3.985,takeoff,0.000,0.000,0.304,0.000,0.000,0.768,0.000,0.000,0.341,0.00,-0.00,0.00,0.757,-0.000,0.000,0.000
4.040,takeoff,0.000,0.000,0.386,0.000,0.000,0.868,0.000,0.000,0.384,0.00,-0.00,0.00,0.749,-0.000,0.000,0.000
4.095,takeoff,0.000,0.000,0.386,0.000,0.000,0.868,0.000,0.000,0.429,0.00,-0.00,0.00,0.746,-0.000,0.000,0.000
4.146,takeoff,0.000,0.000,0.477,0.000,0.000,0.953,0.000,0.000,0.477,0.00,-0.00,0.00,0.741,-0.000,0.000,0.000
4.197,takeoff,0.000,0.000,0.477,0.000,0.000,0.953,0.000,0.000,0.526,0.00,-0.00,0.00,0.738,-0.000,0.000,0.000
4.252,takeoff,0.000,0.000,0.576,0.000,0.000,1.023,0.000,0.000,0.578,0.00,-0.00,0.00,0.734,-0.000,0.000,0.000
4.303,takeoff,0.000,0.000,0.576,0.000,0.000,1.023,0.000,0.000,0.631,0.00,-0.00,0.00,0.732,-0.000,0.000,0.000
4.358,takeoff,0.000,0.000,0.681,0.000,0.000,1.078,0.000,0.000,0.685,0.00,-0.00,0.00,0.728,-0.000,0.000,0.000
4.409,takeoff,0.000,0.000,0.681,0.000,0.000,1.078,0.000,0.000,0.741,0.00,-0.00,0.00,0.727,-0.000,0.000,0.000
4.464,takeoff,0.000,0.000,0.791,0.000,0.000,1.125,0.000,0.000,0.817,0.00,-0.00,0.00,0.724,-0.000,0.000,0.000
4.517,takeoff,0.000,0.000,0.791,0.000,0.000,1.125,0.000,0.000,0.875,0.00,-0.00,0.00,0.722,-0.000,0.000,0.000
4.569,takeoff,0.000,0.000,0.906,0.000,0.000,1.164,0.000,0.000,0.935,0.00,-0.00,0.00,0.720,-0.000,0.000,0.000
4.624,takeoff,0.000,0.000,0.906,0.000,0.000,1.164,0.000,0.000,0.995,0.00,-0.00,0.00,0.719,-0.000,0.000,0.000
4.676,takeoff,0.000,0.000,1.024,0.000,0.000,1.196,0.000,0.000,1.056,0.00,-0.00,0.00,0.717,-0.000,0.000,0.000
4.726,takeoff,0.000,0.000,1.024,0.000,0.000,1.196,0.000,0.000,1.118,0.00,-0.00,0.00,0.715,-0.000,0.000,0.000
4.776,takeoff,0.000,0.000,1.145,0.000,0.000,1.224,0.000,0.000,1.180,0.00,-0.00,0.00,0.714,-0.000,0.000,0.000
4.827,takeoff,0.000,0.000,1.145,0.000,0.000,1.224,0.000,0.000,1.243,0.00,-0.00,0.00,0.713,-0.000,0.000,0.000
4.879,takeoff,0.000,0.000,1.268,0.000,0.000,1.246,0.000,0.000,1.307,0.00,-0.00,0.00,0.711,-0.000,0.000,0.000
4.930,takeoff,0.000,0.000,1.268,0.000,0.000,1.246,0.000,0.000,1.371,0.00,-0.00,0.00,0.710,-0.000,0.000,0.000
4.984,takeoff,0.000,0.000,1.394,0.000,0.000,1.265,0.000,0.000,1.436,0.00,-0.00,0.00,0.709,-0.000,0.000,0.000
5.038,takeoff,0.000,0.000,1.521,0.000,-0.000,1.279,0.000,0.000,1.501,0.00,-0.00,0.00,0.707,-0.000,0.000,0.000
5.089,takeoff,0.000,0.000,1.521,0.000,-0.000,1.279,0.000,0.000,1.588,0.00,-0.00,0.00,0.706,-0.000,0.000,0.000
5.140,takeoff,0.000,0.000,1.649,0.000,-0.000,1.290,0.000,0.000,1.631,0.00,-0.00,0.00,0.705,-0.000,0.000,0.000
5.193,takeoff,0.000,0.000,1.649,0.000,-0.000,1.290,0.000,0.000,1.719,0.00,-0.00,0.00,0.704,-0.000,0.000,0.000
5.248,takeoff,0.000,0.000,1.779,0.000,-0.000,1.297,0.000,0.000,1.785,0.00,-0.00,0.00,0.704,-0.000,0.000,0.000
5.299,takeoff,0.000,0.000,1.779,0.000,-0.000,1.297,0.000,0.000,1.852,0.00,-0.00,0.00,0.703,-0.000,0.000,0.000
5.350,takeoff,0.000,0.000,1.909,0.000,-0.000,1.301,0.000,0.000,1.918,0.00,-0.00,0.00,0.703,-0.000,0.000,0.000
5.402,takeoff,0.000,0.000,1.909,0.000,-0.000,1.301,0.000,0.000,1.984,0.00,-0.00,0.00,0.702,-0.000,0.000,0.000
5.452,takeoff,0.000,0.000,2.039,0.000,-0.000,1.304,0.000,0.000,2.051,0.00,-0.00,0.00,0.702,-0.000,0.000,0.000
5.507,takeoff,0.000,0.000,2.039,0.000,-0.000,1.304,0.000,0.000,2.117,0.00,-0.00,0.00,0.701,-0.000,0.000,0.000
5.559,takeoff,0.000,0.000,2.169,0.000,-0.000,1.304,0.000,0.000,2.184,0.00,-0.00,0.00,0.701,-0.000,0.000,0.000
5.609,takeoff,0.000,0.000,2.169,0.000,-0.000,1.304,0.000,0.000,2.250,0.00,-0.00,0.00,0.701,-0.000,0.000,0.000
5.663,takeoff,0.000,0.000,2.300,0.000,-0.000,1.303,0.000,0.000,2.317,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
5.718,takeoff,0.000,0.000,2.300,0.000,-0.000,1.303,0.000,0.000,2.383,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
5.770,takeoff,0.000,0.000,2.430,0.000,-0.000,1.301,0.000,0.000,2.472,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
5.823,takeoff,0.000,0.000,2.430,0.000,-0.000,1.301,0.000,0.000,2.516,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
5.875,takeoff,0.000,0.000,2.560,0.000,-0.000,1.297,0.000,0.000,2.604,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
5.926,takeoff,0.000,0.000,2.560,0.000,-0.000,1.297,0.000,0.000,2.670,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
5.977,takeoff,0.000,0.000,2.689,0.000,-0.000,1.293,0.000,0.000,2.736,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
6.031,takeoff,0.000,0.000,2.689,0.000,-0.000,1.293,0.000,0.000,2.802,0.00,-0.00,0.00,0.699,-0.000,0.000,0.000
6.081,takeoff,0.000,0.000,2.818,0.000,-0.000,1.289,0.000,0.000,2.867,0.00,-0.00,0.00,0.699,-0.000,0.000,0.000
6.135,takeoff,0.000,0.000,2.818,0.000,-0.000,1.289,0.000,0.000,2.933,0.00,-0.00,0.00,0.699,-0.000,0.000,0.000
6.186,takeoff,0.000,0.000,2.947,0.000,-0.000,1.285,0.000,0.000,2.998,0.00,-0.00,0.00,0.699,-0.000,0.000,0.000
6.236,takeoff,0.000,0.000,2.947,0.000,-0.000,1.285,0.000,0.000,3.064,0.00,-0.00,0.00,0.699,-0.000,0.000,0.000
