t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.004,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.055,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.031,-0.000,0.000,0.000
2.110,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.064,-0.000,0.000,0.000
2.160,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.094,-0.000,0.000,0.000
2.213,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.125,-0.000,0.000,0.000
2.263,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.155,-0.000,0.000,0.000
2.314,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.186,-0.000,0.000,0.000
2.364,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.216,-0.000,0.000,0.000
2.417,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.248,-0.000,0.000,0.000
2.467,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.278,-0.000,0.000,0.000
2.520,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.310,-0.000,0.000,0.000
2.571,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.340,-0.000,0.000,0.000
2.622,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.371,-0.000,0.000,0.000
2.672,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.401,-0.000,0.000,0.000
2.723,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.431,-0.000,0.000,0.000
2.775,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.462,-0.000,0.000,0.000
2.825,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.492,-0.000,0.000,0.000
2.875,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.522,-0.000,0.000,0.000
2.926,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.553,-0.000,0.000,0.000
2.976,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.583,-0.000,0.000,0.000
3.031,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.616,-0.000,0.000,0.000
3.085,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.649,-0.000,0.000,0.000
3.135,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.679,-0.000,0.000,0.000
3.187,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.710,-0.000,0.000,0.000
