t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.052,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.031,-0.000,0.000,0.000
2.104,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.062,-0.000,0.000,0.000
2.156,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.093,-0.000,0.000,0.000
2.211,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.126,-0.000,0.000,0.000
2.261,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.156,-0.000,0.000,0.000
2.312,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.187,-0.000,0.000,0.000
2.367,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.220,-0.000,0.000,0.000
2.418,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.250,-0.000,0.000,0.000
2.470,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.281,-0.000,0.000,0.000
2.520,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.312,-0.000,0.000,0.000
2.575,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.344,-0.000,0.000,0.000
2.626,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.375,-0.000,0.000,0.000
2.677,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.405,-0.000,0.000,0.000
2.731,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.438,-0.000,0.000,0.000
2.784,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.470,-0.000,0.000,0.000
2.835,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.500,-0.000,0.000,0.000
2.886,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.531,-0.000,0.000,0.000
2.938,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.562,-0.000,0.000,0.000
2.988,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.592,-0.000,0.000,0.000
3.039,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.623,-0.000,0.000,0.000
3.089,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.653,-0.000,0.000,0.000
3.143,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.685,-0.000,0.000,0.000
3.195,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.717,-0.000,0.000,0.000
3.247,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.748,-0.000,0.000,0.000
3.298,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.778,-0.000,0.000,0.000
3.353,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.405,takeoff,0.000,0.000,0.072,0.000,0.000,0.021,0.000,0.000,0.072,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.456,takeoff,0.000,0.000,0.072,0.000,0.000,0.021,0.000,0.000,0.075,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.506,takeoff,0.000,0.000,0.079,0.000,0.000,0.137,0.000,0.000,0.082,0.00,-0.00,0.00,0.795,-0.000,0.000,0.000
3.558,takeoff,0.000,0.000,0.079,0.000,0.000,0.137,0.000,0.000,0.093,0.00,-0.00,0.00,0.795,-0.000,0.000,0.000
3.612,takeoff,0.000,0.000,0.100,0.000,0.000,0.284,0.000,0.000,0.107,0.00,-0.00,0.00,0.789,-0.000,0.000,0.000
3.662,takeoff,0.000,0.000,0.100,0.000,0.000,0.284,0.000,0.000,0.126,0.00,-0.00,0.00,0.788,-0.000,0.000,0.000
3.714,takeoff,0.000,0.000,0.136,0.000,0.000,0.428,0.000,0.000,0.148,0.00,-0.00,0.00,0.780,-0.000,0.000,0.000
3.764,takeoff,0.000,0.000,0.136,0.000,0.000,0.428,0.000,0.000,0.173,0.00,-0.00,0.00,0.778,-0.000,0.000,0.000
3.819,takeoff,0.000,0.000,0.185,0.000,0.000,0.560,0.000,0.000,0.202,0.00,-0.00,0.00,0.771,-0.000,0.000,0.000
3.870,takeoff,0.000,0.000,0.185,0.000,0.000,0.560,0.000,0.000,0.234,0.00,-0.00,0.00,0.769,-0.000,0.000,0.000
3.921,takeoff,0.000,0.000,0.247,0.000,0.000,0.682,0.000,0.000,0.269,0.00,-0.00,0.00,0.762,-0.000,0.000,0.000
3.973,takeoff,0.000,0.000,0.247,0.000,0.000,0.682,0.000,0.000,0.320,0.00,-0.00,0.00,0.759,-0.000,0.000,0.000
