t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.007,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.064,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.034,-0.000,0.000,0.000
2.115,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.065,-0.000,0.000,0.000
2.166,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.095,-0.000,0.000,0.000
2.221,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.129,-0.000,0.000,0.000
2.272,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.159,-0.000,0.000,0.000
2.324,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.190,-0.000,0.000,0.000
2.378,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.223,-0.000,0.000,0.000
2.433,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.255,-0.000,0.000,0.000
2.483,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.285,-0.000,0.000,0.000
2.535,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.317,-0.000,0.000,0.000
2.586,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.347,-0.000,0.000,0.000
2.638,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.378,-0.000,0.000,0.000
2.688,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.409,-0.000,0.000,0.000
2.745,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.443,-0.000,0.000,0.000
