t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.003,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.053,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.030,-0.000,0.000,0.000
2.104,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.060,-0.000,0.000,0.000
2.154,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.090,-0.000,0.000,0.000
2.206,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.122,-0.000,0.000,0.000
2.265,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.157,-0.000,0.000,0.000
2.318,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.189,-0.000,0.000,0.000
2.369,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.220,-0.000,0.000,0.000
2.426,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.254,-0.000,0.000,0.000
2.477,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.284,-0.000,0.000,0.000
2.530,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.316,-0.000,0.000,0.000
2.582,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.00,-0.00,0.347,-0.000,0.000,0.000
2.634,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.378,-0.000,0.000,0.000
2.685,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.409,-0.000,0.000,0.000
2.742,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.443,-0.000,0.000,0.000
2.794,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.474,-0.000,0.000,0.000
2.844,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.505,-0.000,0.000,0.000
2.898,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.537,-0.000,0.000,0.000
2.955,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.571,-0.000,0.000,0.000
3.008,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.603,-0.000,0.000,0.000
3.066,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.638,-0.000,0.000,0.000
3.116,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.668,-0.000,0.000,0.000
3.168,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.699,-0.000,0.000,0.000
3.221,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.731,-0.000,0.000,0.000
3.275,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.763,-0.000,0.000,0.000
3.325,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.793,-0.000,0.000,0.000
3.376,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.428,takeoff,0.000,0.000,0.068,0.000,0.000,0.022,0.000,0.000,0.068,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.478,takeoff,0.000,0.000,0.068,0.000,0.000,0.022,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.530,takeoff,0.000,0.000,0.074,0.000,0.000,0.121,0.000,0.000,0.078,0.00,-0.00,0.00,0.00,-0.00,0.796,-0.000,0.000,0.000
3.581,takeoff,0.000,0.000,0.074,0.000,0.000,0.121,0.000,0.000,0.087,0.00,-0.00,0.00,0.00,-0.00,0.796,-0.000,0.000,0.000
3.634,takeoff,0.000,0.000,0.094,0.000,0.000,0.266,0.000,0.000,0.101,0.00,-0.00,0.00,0.00,-0.00,0.791,-0.000,0.000,0.000
3.686,takeoff,0.000,0.000,0.094,0.000,0.000,0.266,0.000,0.000,0.118,0.00,-0.00,0.00,0.00,-0.00,0.789,-0.000,0.000,0.000
3.740,takeoff,0.000,0.000,0.128,0.000,0.000,0.408,0.000,0.000,0.139,0.00,-0.00,0.00,0.00,-0.00,0.782,-0.000,0.000,0.000
