t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.005,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.058,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.032,-0.000,0.000,0.000
2.112,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.064,-0.000,0.000,0.000
2.163,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.095,-0.000,0.000,0.000
2.218,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.128,-0.000,0.000,0.000
2.271,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.160,-0.000,0.000,0.000
2.321,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.190,-0.000,0.000,0.000
2.372,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.220,-0.000,0.000,0.000
2.427,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.253,-0.000,0.000,0.000
2.479,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.285,-0.000,0.000,0.000
2.530,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.315,-0.000,0.000,0.000
2.584,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.347,-0.000,0.000,0.000
2.639,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.380,-0.000,0.000,0.000
2.689,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.411,-0.000,0.000,0.000
2.741,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.441,-0.000,0.000,0.000
2.791,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.472,-0.000,0.000,0.000
2.846,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.504,-0.000,0.000,0.000
2.898,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.536,-0.000,0.000,0.000
2.953,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.569,-0.000,0.000,0.000
3.003,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.599,-0.000,0.000,0.000
3.056,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.630,-0.000,0.000,0.000
3.106,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.661,-0.000,0.000,0.000
3.161,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.694,-0.000,0.000,0.000
3.214,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.726,-0.000,0.000,0.000
3.269,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.759,-0.000,0.000,0.000
3.319,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.789,-0.000,0.000,0.000
3.375,takeoff,0.000,0.000,0.074,0.000,0.000,0.026,0.000,0.000,0.073,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.426,takeoff,0.000,0.000,0.074,0.000,0.000,0.026,0.000,0.000,0.075,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.480,takeoff,0.000,0.000,0.081,0.000,0.000,0.135,0.000,0.000,0.080,0.00,-0.00,0.00,0.795,-0.000,0.000,0.000
3.530,takeoff,0.000,0.000,0.081,0.000,0.000,0.135,0.000,0.000,0.089,0.00,-0.00,0.00,0.796,-0.000,0.000,0.000
3.583,takeoff,0.000,0.000,0.102,0.000,0.000,0.283,0.000,0.000,0.101,0.00,-0.00,0.00,0.790,-0.000,0.000,0.000
3.634,takeoff,0.000,0.000,0.102,0.000,0.000,0.283,0.000,0.000,0.117,0.00,-0.00,0.00,0.788,-0.000,0.000,0.000
3.685,takeoff,0.000,0.000,0.138,0.000,0.000,0.427,0.000,0.000,0.137,0.00,-0.00,0.00,0.781,-0.000,0.000,0.000
3.735,takeoff,0.000,0.000,0.138,0.000,0.000,0.427,0.000,0.000,0.160,0.00,-0.00,0.00,0.778,-0.000,0.000,0.000
3.786,takeoff,0.000,0.000,0.187,0.000,0.000,0.562,0.000,0.000,0.187,0.00,-0.00,0.00,0.771,-0.000,0.000,0.000
3.839,takeoff,0.000,0.000,0.187,0.000,0.000,0.562,0.000,0.000,0.218,0.00,-0.00,0.00,0.769,-0.000,0.000,0.000
3.891,takeoff,0.000,0.000,0.250,0.000,0.000,0.681,0.000,0.000,0.251,0.00,-0.00,0.00,0.762,-0.000,0.000,0.000
3.943,takeoff,0.000,0.000,0.250,0.000,0.000,0.681,0.000,0.000,0.300,0.00,-0.00,0.00,0.760,-0.000,0.000,0.000
3.996,takeoff,0.000,0.000,0.323,0.000,0.000,0.786,0.000,0.000,0.340,0.00,-0.00,0.00,0.754,-0.000,0.000,0.000
4.047,takeoff,0.000,0.000,0.323,0.000,0.000,0.786,0.000,0.000,0.382,0.00,-0.00,0.00,0.751,-0.000,0.000,0.000
