t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.000,takeoff,0.000,0.000,0.065,0.000,0.000,0.001,0.000,0.000,0.065,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.050,takeoff,0.000,0.000,0.065,0.000,0.000,0.001,0.000,0.000,0.065,0.00,-0.00,0.00,0.030,-0.000,0.000,0.000
2.101,takeoff,0.000,0.000,0.065,0.000,0.000,0.001,0.000,0.000,0.065,0.00,-0.00,0.00,0.061,-0.000,0.000,0.000
2.154,takeoff,0.000,0.000,0.065,0.000,0.000,0.001,0.000,0.000,0.065,0.00,-0.00,0.00,0.092,-0.000,0.000,0.000
2.204,takeoff,0.000,0.000,0.065,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.122,-0.000,0.000,0.000
2.255,takeoff,0.000,0.000,0.065,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.153,-0.000,0.000,0.000
2.310,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.186,-0.000,0.000,0.000
2.361,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.216,-0.000,0.000,0.000
2.413,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.247,-0.000,0.000,0.000
2.466,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.279,-0.000,0.000,0.000
2.517,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.310,-0.000,0.000,0.000
2.568,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.340,-0.000,0.000,0.000
2.619,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.371,-0.000,0.000,0.000
2.670,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.402,-0.000,0.000,0.000
2.724,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.434,-0.000,0.000,0.000
2.777,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.466,-0.000,0.000,0.000
2.827,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.496,-0.000,0.000,0.000
2.878,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.526,-0.000,0.000,0.000
2.929,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.557,-0.000,0.000,0.000
2.982,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.589,-0.000,0.000,0.000
3.032,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.619,-0.000,0.000,0.000
3.084,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.650,-0.000,0.000,0.000
3.135,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.681,-0.000,0.000,0.000
3.187,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.066,0.00,-0.00,0.00,0.712,-0.000,0.000,0.000
3.237,takeoff,0.000,0.000,0.066,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.742,-0.000,0.000,0.000
3.292,takeoff,0.000,0.000,0.067,0.000,0.000,0.002,0.000,0.000,0.067,0.00,-0.00,0.00,0.775,-0.000,0.000,0.000
3.343,takeoff,0.000,0.000,0.067,0.000,0.000,0.002,0.000,0.000,0.067,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.398,takeoff,0.000,0.000,0.068,0.000,0.000,0.053,0.000,0.000,0.068,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.450,takeoff,0.000,0.000,0.068,0.000,0.000,0.053,0.000,0.000,0.073,0.00,-0.00,0.00,0.799,-0.000,0.000,0.000
3.501,takeoff,0.000,0.000,0.080,0.000,0.000,0.180,0.000,0.000,0.080,0.00,-0.00,0.00,0.795,-0.000,0.000,0.000
3.551,takeoff,0.000,0.000,0.080,0.000,0.000,0.180,0.000,0.000,0.091,0.00,-0.00,0.00,0.794,-0.000,0.000,0.000
3.604,takeoff,0.000,0.000,0.105,0.000,0.000,0.325,0.000,0.000,0.107,0.00,-0.00,0.00,0.788,-0.000,0.000,0.000
3.656,takeoff,0.000,0.000,0.105,0.000,0.000,0.325,0.000,0.000,0.125,0.00,-0.00,0.00,0.786,-0.000,0.000,0.000
3.706,takeoff,0.000,0.000,0.144,0.000,0.000,0.461,0.000,0.000,0.148,0.00,-0.00,0.00,0.779,-0.000,0.000,0.000
