t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.004,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.058,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.032,-0.000,0.000,0.000
2.110,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.064,-0.000,0.000,0.000
2.164,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.096,-0.000,0.000,0.000
2.217,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.128,-0.000,0.000,0.000
2.269,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.159,-0.000,0.000,0.000
2.320,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.189,-0.000,0.000,0.000
2.374,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.221,-0.000,0.000,0.000
2.425,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.252,-0.000,0.000,0.000
2.480,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.285,-0.000,0.000,0.000
2.531,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.082,0.00,-0.00,0.00,0.00,-0.00,0.316,-0.000,0.000,0.000
2.583,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.347,-0.000,0.000,0.000
2.634,takeoff,0.000,0.000,0.082,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.378,-0.000,0.000,0.000
2.688,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.410,-0.000,0.000,0.000
2.740,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.441,-0.000,0.000,0.000
2.792,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.473,-0.000,0.000,0.000
2.842,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.503,-0.000,0.000,0.000
2.897,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.536,-0.000,0.000,0.000
2.950,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.567,-0.000,0.000,0.000
3.001,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.598,-0.000,0.000,0.000
3.052,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.628,-0.000,0.000,0.000
3.102,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.659,-0.000,0.000,0.000
3.152,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.689,-0.000,0.000,0.000
3.203,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.719,-0.000,0.000,0.000
3.256,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.751,-0.000,0.000,0.000
3.309,takeoff,0.000,0.000,0.083,0.000,0.000,0.001,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.783,-0.000,0.000,0.000
3.364,takeoff,0.000,0.000,0.084,0.000,0.000,0.021,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.415,takeoff,0.000,0.000,0.084,0.000,0.000,0.021,0.000,0.000,0.086,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.470,takeoff,0.000,0.000,0.090,0.000,0.000,0.120,0.000,0.000,0.091,0.00,-0.00,0.00,0.00,-0.00,0.796,-0.000,0.000,0.000
