t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.004,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.059,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.033,-0.000,0.000,0.000
2.113,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.065,-0.000,0.000,0.000
2.163,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.095,-0.000,0.000,0.000
2.214,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.126,-0.000,0.000,0.000
2.265,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.157,-0.000,0.000,0.000
2.315,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.187,-0.000,0.000,0.000
2.366,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.217,-0.000,0.000,0.000
2.417,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.248,-0.000,0.000,0.000
2.472,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.281,-0.000,0.000,0.000
2.523,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.311,-0.000,0.000,0.000
2.575,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.342,-0.000,0.000,0.000
2.625,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.372,-0.000,0.000,0.000
2.676,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.403,-0.000,0.000,0.000
2.727,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.434,-0.000,0.000,0.000
2.778,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.464,-0.000,0.000,0.000
2.829,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.495,-0.000,0.000,0.000
2.880,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.525,-0.000,0.000,0.000
2.932,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.557,-0.000,0.000,0.000
2.983,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.587,-0.000,0.000,0.000
3.034,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.618,-0.000,0.000,0.000
3.088,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.650,-0.000,0.000,0.000
3.140,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.682,-0.000,0.000,0.000
3.191,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.081,0.00,-0.00,0.00,0.712,-0.000,0.000,0.000
3.242,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.081,0.00,-0.00,0.00,0.743,-0.000,0.000,0.000
3.292,takeoff,0.000,0.000,0.081,0.000,0.000,0.001,0.000,0.000,0.081,0.00,-0.00,0.00,0.773,-0.000,0.000,0.000
3.344,takeoff,0.000,0.000,0.081,0.000,0.000,0.001,0.000,0.000,0.081,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.396,takeoff,0.000,0.000,0.081,0.000,0.000,0.006,0.000,0.000,0.081,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.448,takeoff,0.000,0.000,0.084,0.000,0.000,0.078,0.000,0.000,0.084,0.00,-0.00,0.00,0.799,-0.000,0.000,0.000
3.498,takeoff,0.000,0.000,0.084,0.000,0.000,0.078,0.000,0.000,0.089,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.548,takeoff,0.000,0.000,0.099,0.000,0.000,0.223,0.000,0.000,0.098,0.00,-0.00,0.00,0.792,-0.000,0.000,0.000
3.598,takeoff,0.000,0.000,0.099,0.000,0.000,0.223,0.000,0.000,0.111,0.00,-0.00,0.00,0.791,-0.000,0.000,0.000
3.650,takeoff,0.000,0.000,0.129,0.000,0.000,0.368,0.000,0.000,0.128,0.00,-0.00,0.00,0.784,-0.000,0.000,0.000
3.704,takeoff,0.000,0.000,0.129,0.000,0.000,0.368,0.000,0.000,0.148,0.00,-0.00,0.00,0.782,-0.000,0.000,0.000
3.757,takeoff,0.000,0.000,0.173,0.000,0.000,0.500,0.000,0.000,0.172,0.00,-0.00,0.00,0.775,-0.000,0.000,0.000
3.807,takeoff,0.000,0.000,0.173,0.000,0.000,0.500,0.000,0.000,0.199,0.00,-0.00,0.00,0.773,-0.000,0.000,0.000
3.857,takeoff,0.000,0.000,0.229,0.000,0.000,0.619,0.000,0.000,0.229,0.00,-0.00,0.00,0.766,-0.000,0.000,0.000
3.912,takeoff,0.000,0.000,0.229,0.000,0.000,0.619,0.000,0.000,0.263,0.00,-0.00,0.00,0.764,-0.000,0.000,0.000
