t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.058,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.034,-0.000,0.000,0.000
2.111,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.066,-0.000,0.000,0.000
2.164,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.098,-0.000,0.000,0.000
2.218,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.130,-0.000,0.000,0.000
2.273,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.163,-0.000,0.000,0.000
2.328,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.000,0.084,0.00,-0.00,0.00,0.00,-0.00,0.196,-0.000,0.000,0.000
2.380,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.227,-0.000,0.000,0.000
2.431,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.258,-0.000,0.000,0.000
2.482,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.289,-0.000,0.000,0.000
2.538,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.322,-0.000,0.000,0.000
2.591,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.354,-0.000,0.000,0.000
2.645,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.387,-0.000,0.000,0.000
2.697,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.418,-0.000,0.000,0.000
2.753,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.451,-0.000,0.000,0.000
2.805,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.482,-0.000,0.000,0.000
2.858,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.00,-0.00,0.515,-0.000,0.000,0.000
2.915,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.548,-0.000,0.000,0.000
2.965,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.579,-0.000,0.000,0.000
3.020,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.612,-0.000,0.000,0.000
3.078,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.646,-0.000,0.000,0.000
3.131,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.678,-0.000,0.000,0.000
3.183,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.709,-0.000,0.000,0.000
3.234,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.740,-0.000,0.000,0.000
3.285,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.770,-0.000,0.000,0.000
3.337,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.396,takeoff,0.000,0.001,0.086,0.000,0.000,0.021,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.448,takeoff,0.000,0.001,0.086,0.000,0.000,0.021,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.498,takeoff,0.000,0.001,0.093,0.000,0.000,0.123,0.000,0.001,0.096,0.00,-0.00,0.00,0.00,-0.00,0.796,-0.000,0.000,0.000
3.551,takeoff,0.000,0.001,0.093,0.000,0.000,0.123,0.000,0.001,0.107,0.00,-0.00,0.00,0.00,-0.00,0.797,-0.000,0.000,0.000
3.602,takeoff,0.000,0.001,0.112,0.000,0.000,0.268,0.000,0.001,0.121,0.00,-0.00,0.00,0.00,-0.00,0.791,-0.000,0.000,0.000
3.653,takeoff,0.000,0.001,0.112,0.000,0.000,0.268,0.000,0.001,0.138,0.00,-0.00,0.00,0.00,-0.00,0.789,-0.000,0.000,0.000
3.703,takeoff,0.000,0.001,0.146,0.000,0.000,0.411,0.000,0.001,0.160,0.00,-0.00,0.00,0.00,-0.00,0.782,-0.000,0.000,0.000
3.755,takeoff,0.000,0.001,0.146,0.000,0.000,0.411,0.000,0.001,0.185,0.00,-0.00,0.00,0.00,-0.00,0.780,-0.000,0.000,0.000
3.806,takeoff,0.000,0.001,0.194,0.000,0.000,0.546,0.000,0.001,0.213,0.00,-0.00,0.00,0.00,-0.00,0.773,-0.000,0.000,0.000
3.865,takeoff,0.000,0.001,0.255,0.000,0.000,0.668,0.000,0.001,0.256,0.00,-0.00,0.00,0.00,-0.00,0.764,-0.000,0.000,0.000
3.925,takeoff,0.000,0.001,0.255,0.000,0.000,0.668,0.000,0.001,0.291,0.00,-0.00,0.00,0.00,-0.00,0.761,-0.000,0.000,0.000
3.980,takeoff,0.000,0.001,0.328,0.000,0.000,0.781,0.000,0.001,0.330,0.00,-0.00,0.00,0.00,-0.00,0.754,-0.000,0.000,0.000
4.030,takeoff,0.000,0.001,0.328,0.000,0.000,0.781,0.000,0.001,0.371,0.00,-0.00,0.00,-0.00,-0.00,0.752,-0.000,0.000,0.000
4.082,takeoff,0.000,0.001,0.411,0.000,0.000,0.877,0.000,0.001,0.415,0.00,-0.00,0.00,-0.00,-0.00,0.746,-0.000,0.000,0.000
4.140,takeoff,0.000,0.001,0.411,0.000,0.000,0.877,0.000,0.001,0.477,0.00,-0.00,0.00,-0.00,-0.00,0.743,-0.000,0.000,0.000
4.191,takeoff,0.000,0.001,0.503,0.000,0.000,0.963,0.000,0.001,0.526,0.00,-0.00,0.00,-0.00,-0.00,0.739,-0.000,0.000,0.000
4.249,takeoff,0.000,0.001,0.503,0.000,0.000,0.963,0.000,0.001,0.577,0.00,-0.00,0.00,-0.00,-0.00,0.736,-0.000,0.000,0.000
4.301,takeoff,0.000,0.001,0.603,0.000,0.000,1.035,0.000,0.001,0.630,0.00,-0.00,0.00,-0.00,-0.00,0.732,-0.000,0.000,0.000
4.353,takeoff,0.000,0.001,0.603,0.000,0.000,1.035,0.000,0.001,0.684,0.00,-0.00,0.00,-0.00,-0.00,0.730,-0.000,0.000,0.000
4.403,takeoff,0.000,0.001,0.709,0.000,0.000,1.093,0.000,0.001,0.740,0.00,-0.00,0.00,-0.00,-0.00,0.726,-0.000,0.000,0.000
4.456,takeoff,0.000,0.001,0.709,0.000,0.000,1.093,0.000,0.001,0.797,0.00,-0.00,0.00,-0.00,-0.00,0.725,-0.000,0.000,0.000
4.513,takeoff,0.000,0.001,0.821,0.000,0.000,1.140,0.000,0.001,0.875,0.00,-0.00,0.00,-0.00,-0.00,0.721,-0.000,0.000,0.000
4.565,takeoff,0.000,0.001,0.937,0.000,0.000,1.176,0.000,0.001,0.935,0.00,-0.00,0.00,-0.00,-0.00,0.718,-0.000,0.000,0.000
4.618,takeoff,0.000,0.001,0.937,0.000,0.000,1.176,0.000,0.001,0.995,0.00,-0.00,0.00,-0.00,-0.00,0.717,-0.000,0.000,0.000
4.674,takeoff,0.000,0.001,1.056,0.000,0.000,1.205,0.000,0.001,1.056,0.00,-0.00,0.00,-0.00,-0.00,0.714,-0.000,0.000,0.000
4.724,takeoff,0.000,0.001,1.056,0.000,0.000,1.205,0.000,0.001,1.118,0.00,-0.00,0.00,-0.00,-0.00,0.713,-0.000,0.000,0.000
4.783,takeoff,0.000,0.001,1.178,0.000,0.000,1.228,0.000,0.001,1.201,0.00,-0.00,0.00,-0.00,-0.00,0.712,-0.000,0.000,0.000
4.833,takeoff,0.000,0.001,1.178,0.000,0.000,1.228,0.000,0.001,1.264,0.00,-0.00,0.00,-0.00,-0.00,0.711,-0.000,0.000,0.000
4.884,takeoff,0.000,0.001,1.302,0.000,0.000,1.245,0.000,0.001,1.328,0.00,-0.00,0.00,-0.00,-0.00,0.709,-0.000,0.000,0.000
4.936,takeoff,0.000,0.001,1.302,0.000,0.000,1.245,0.000,0.001,1.392,0.00,-0.00,0.00,-0.00,-0.00,0.709,-0.000,0.000,0.000
4.993,takeoff,0.000,0.001,1.427,0.000,0.000,1.259,0.000,0.001,1.456,0.00,-0.00,0.00,-0.00,-0.00,0.708,-0.000,0.000,0.000
5.043,takeoff,0.000,0.001,1.427,0.000,0.000,1.259,0.000,0.001,1.520,0.00,-0.00,0.00,-0.00,-0.00,0.707,-0.000,0.000,0.000
5.098,takeoff,0.000,0.001,1.553,0.000,-0.000,1.271,0.000,0.001,1.585,0.00,-0.00,0.00,-0.00,-0.00,0.706,-0.000,0.000,0.000
5.149,takeoff,0.000,0.001,1.553,0.000,-0.000,1.271,0.000,0.001,1.650,0.00,-0.00,0.00,-0.00,-0.00,0.705,-0.000,0.000,0.000
5.202,takeoff,0.000,0.001,1.681,0.000,-0.000,1.280,0.000,0.001,1.716,0.00,-0.00,0.00,-0.00,-0.00,0.704,-0.000,0.000,0.000
5.253,takeoff,0.000,0.001,1.681,0.000,-0.000,1.280,0.000,0.001,1.781,0.00,-0.00,0.00,-0.00,-0.00,0.704,-0.000,0.000,0.000
5.308,takeoff,0.000,0.001,1.809,0.000,-0.000,1.287,0.000,0.001,1.869,0.00,-0.00,0.00,-0.00,-0.00,0.703,-0.000,0.000,0.000
