t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.002,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.056,takeoff,0.000,0.000,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.032,-0.000,0.000,0.000
2.109,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.064,-0.000,0.000,0.000
2.160,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.095,-0.000,0.000,0.000
2.213,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.126,-0.000,0.000,0.000
2.263,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.156,-0.000,0.000,0.000
2.315,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.188,-0.000,0.000,0.000
2.366,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.218,-0.000,0.000,0.000
2.416,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.248,-0.000,0.000,0.000
2.466,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.084,0.00,-0.00,0.00,0.279,-0.000,0.000,0.000
2.516,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.309,-0.000,0.000,0.000
2.569,takeoff,0.000,0.001,0.084,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.340,-0.000,0.000,0.000
2.620,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.371,-0.000,0.000,0.000
2.674,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.403,-0.000,0.000,0.000
2.727,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.435,-0.000,0.000,0.000
2.779,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.466,-0.000,0.000,0.000
2.831,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.497,-0.000,0.000,0.000
2.881,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.527,-0.000,0.000,0.000
2.933,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.559,-0.000,0.000,0.000
2.986,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.590,-0.000,0.000,0.000
3.036,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.620,-0.000,0.000,0.000
3.086,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.650,-0.000,0.000,0.000
3.139,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.682,-0.000,0.000,0.000
3.194,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.715,-0.000,0.000,0.000
3.245,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.746,-0.000,0.000,0.000
3.296,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.777,-0.000,0.000,0.000
3.348,takeoff,0.000,0.001,0.085,0.000,0.000,0.001,0.000,0.001,0.085,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.399,takeoff,0.000,0.001,0.086,0.000,0.000,0.019,0.000,0.001,0.086,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.454,takeoff,0.000,0.001,0.086,0.000,0.000,0.019,0.000,0.001,0.089,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.509,takeoff,0.000,0.001,0.093,0.000,0.000,0.130,0.000,0.001,0.098,0.00,-0.00,0.00,0.796,-0.000,0.000,0.000
3.560,takeoff,0.000,0.001,0.093,0.000,0.000,0.130,0.000,0.001,0.109,0.00,-0.00,0.00,0.796,-0.000,0.000,0.000
3.612,takeoff,0.000,0.001,0.113,0.000,0.000,0.276,0.000,0.001,0.124,0.00,-0.00,0.00,0.790,-0.000,0.000,0.000
3.666,takeoff,0.000,0.001,0.113,0.000,0.000,0.276,0.000,0.001,0.143,0.00,-0.00,0.00,0.789,-0.000,0.000,0.000
3.717,takeoff,0.000,0.001,0.148,0.000,0.000,0.417,0.000,0.001,0.165,0.00,-0.00,0.00,0.782,-0.000,0.000,0.000
3.767,takeoff,0.000,0.001,0.148,0.000,0.000,0.417,0.000,0.001,0.191,0.00,-0.00,0.00,0.780,-0.000,0.000,0.000
3.817,takeoff,0.000,0.001,0.196,0.000,0.000,0.548,0.000,0.001,0.219,0.00,-0.00,0.00,0.773,-0.000,0.000,0.000
3.868,takeoff,0.000,0.001,0.196,0.000,0.000,0.548,0.000,0.001,0.251,0.00,-0.00,0.00,0.770,-0.000,0.000,0.000
3.921,takeoff,0.000,0.001,0.257,0.000,0.000,0.669,0.000,0.001,0.287,0.00,-0.00,0.00,0.764,-0.000,0.000,0.000
3.975,takeoff,0.000,0.001,0.330,0.000,0.000,0.783,0.000,0.001,0.325,0.00,-0.00,0.00,0.755,-0.000,0.000,0.000
4.025,takeoff,0.000,0.001,0.330,0.000,0.000,0.783,0.000,0.001,0.366,0.00,-0.00,0.00,0.752,-0.000,0.000,0.000
4.078,takeoff,0.000,0.001,0.414,0.000,0.000,0.882,0.000,0.001,0.409,0.00,-0.00,0.00,0.746,-0.000,0.000,0.000
4.131,takeoff,0.000,0.001,0.414,0.000,0.000,0.882,0.000,0.001,0.455,0.00,-0.00,0.00,0.743,-0.000,0.000,0.000
4.182,takeoff,0.000,0.001,0.506,0.000,0.000,0.960,0.000,0.001,0.503,0.00,-0.00,0.00,0.738,-0.000,0.000,0.000
4.234,takeoff,0.000,0.001,0.506,0.000,0.000,0.960,0.000,0.001,0.553,0.00,-0.00,0.00,0.736,-0.000,0.000,0.000
4.286,takeoff,0.000,0.001,0.605,0.000,0.000,1.024,0.000,0.001,0.604,0.00,-0.00,0.00,0.731,-0.000,0.000,0.000
4.337,takeoff,0.000,0.001,0.605,0.000,0.000,1.024,0.000,0.001,0.657,0.00,-0.00,0.00,0.729,-0.000,0.000,0.000
4.387,takeoff,0.000,0.001,0.711,0.000,0.000,1.077,0.000,0.001,0.712,0.00,-0.00,0.00,0.722,-0.000,0.000,0.000
4.437,takeoff,0.000,0.001,0.711,0.000,0.000,1.077,0.000,0.001,0.767,0.00,-0.00,0.00,0.721,-0.000,0.000,0.000
4.488,takeoff,0.000,0.001,0.820,0.000,0.000,1.118,0.000,0.001,0.824,0.00,-0.00,0.00,0.714,-0.000,0.000,0.000
4.539,takeoff,0.000,0.001,0.820,0.000,0.000,1.118,0.000,0.001,0.881,0.00,-0.00,0.00,0.712,-0.000,0.000,0.000
4.589,takeoff,0.000,0.001,0.934,0.000,0.000,1.146,0.000,0.001,0.939,0.00,-0.00,0.00,0.706,-0.000,0.000,0.000
4.640,takeoff,0.000,0.001,0.934,0.000,0.000,1.146,0.000,0.001,0.998,0.00,-0.00,0.00,0.705,-0.000,0.000,0.000
4.691,takeoff,0.000,0.001,1.049,0.000,0.000,1.162,0.000,0.001,1.057,0.00,-0.00,0.00,0.700,-0.000,0.000,0.000
4.744,takeoff,0.000,0.001,1.049,0.000,0.000,1.162,0.000,0.001,1.117,0.00,-0.00,0.00,0.699,-0.000,0.000,0.000
4.794,takeoff,0.000,0.001,1.166,0.000,0.000,1.166,0.000,0.001,1.176,0.00,-0.00,0.00,0.694,-0.000,0.000,0.000
4.846,takeoff,0.000,0.001,1.166,0.000,0.000,1.166,0.000,0.001,1.236,0.00,-0.00,0.00,0.693,-0.000,0.000,0.000
4.897,takeoff,0.000,0.001,1.282,0.000,0.000,1.160,0.000,0.001,1.295,0.00,-0.00,0.00,0.689,-0.000,0.000,0.000
4.949,takeoff,0.000,0.001,1.282,0.000,0.000,1.160,0.000,0.001,1.354,0.00,-0.00,0.00,0.688,-0.000,0.000,0.000
5.000,takeoff,0.000,0.001,1.397,0.000,0.000,1.148,0.000,0.001,1.412,0.00,-0.00,0.00,0.684,-0.000,0.000,0.000
5.052,takeoff,0.000,0.001,1.397,0.000,0.000,1.148,0.000,0.001,1.471,0.00,-0.00,0.00,0.684,-0.000,0.000,0.000
5.104,takeoff,0.000,0.001,1.512,0.000,-0.000,1.132,0.000,0.001,1.528,0.00,-0.00,0.00,0.680,-0.000,0.000,0.000
5.157,takeoff,0.000,0.001,1.512,0.000,-0.000,1.132,0.000,0.001,1.586,0.00,-0.00,0.00,0.680,-0.000,0.000,0.000
5.207,takeoff,0.000,0.001,1.624,0.000,-0.000,1.110,0.000,0.001,1.643,0.00,-0.00,0.00,0.677,-0.000,0.000,0.000
5.261,takeoff,0.000,0.001,1.624,0.000,-0.000,1.110,0.000,0.001,1.717,0.00,-0.00,0.00,0.677,-0.000,0.000,0.000
5.314,takeoff,0.000,0.001,1.733,0.000,-0.000,1.081,0.000,0.001,1.772,0.00,-0.00,0.00,0.674,-0.000,0.000,0.000
5.366,takeoff,0.000,0.001,1.733,0.000,-0.000,1.081,0.000,0.001,1.826,0.00,-0.00,0.00,0.674,-0.000,0.000,0.000
5.419,takeoff,0.000,0.001,1.840,0.000,-0.000,1.046,0.000,0.001,1.879,0.00,-0.00,0.00,0.672,-0.000,0.000,0.000
5.469,takeoff,0.000,0.001,1.840,0.000,-0.000,1.046,0.000,0.001,1.931,0.00,-0.00,0.00,0.672,-0.000,0.000,0.000
5.519,takeoff,0.000,0.001,1.942,0.000,-0.000,1.006,0.000,0.001,1.982,0.00,-0.00,0.00,0.670,-0.000,0.000,0.000
5.571,takeoff,0.000,0.001,1.942,0.000,-0.000,1.006,0.000,0.001,2.032,0.00,-0.00,0.00,0.671,-0.000,0.000,0.000
5.622,takeoff,0.000,0.001,2.041,0.000,-0.000,0.963,0.000,0.001,2.081,0.00,-0.00,0.00,0.669,-0.000,0.000,0.000
5.674,takeoff,0.000,0.001,2.041,0.000,-0.000,0.963,0.000,0.001,2.128,0.00,-0.00,0.00,0.670,-0.000,0.000,0.000
5.726,takeoff,0.000,0.001,2.135,0.000,-0.000,0.917,0.000,0.001,2.175,0.00,-0.00,0.00,0.669,-0.000,0.000,0.000
5.780,takeoff,0.000,0.001,2.224,0.000,-0.000,0.869,0.000,0.001,2.220,0.00,-0.00,0.00,0.669,-0.000,0.000,0.000
5.831,takeoff,0.000,0.001,2.224,0.000,-0.000,0.869,0.000,0.001,2.263,0.00,-0.00,0.00,0.670,-0.000,0.000,0.000
5.883,takeoff,0.000,0.001,2.308,0.000,-0.000,0.820,0.000,0.001,2.306,0.00,-0.00,0.00,0.670,-0.000,0.000,0.000
5.934,takeoff,0.000,0.001,2.308,0.000,-0.000,0.820,0.000,0.001,2.347,0.00,-0.00,0.00,0.671,-0.000,0.000,0.000
5.984,takeoff,0.000,0.001,2.388,0.000,-0.000,0.771,0.000,0.001,2.387,0.00,-0.00,0.00,0.671,-0.000,0.000,0.000
6.035,takeoff,0.000,0.001,2.388,0.000,-0.000,0.771,0.000,0.001,2.426,0.00,-0.00,0.00,0.672,-0.000,0.000,0.000
6.086,takeoff,0.000,0.001,2.463,0.000,-0.000,0.724,0.000,0.001,2.463,0.00,-0.00,0.00,0.672,-0.000,0.000,0.000
6.137,takeoff,0.000,0.001,2.463,0.000,-0.000,0.724,0.000,0.001,2.500,0.00,-0.00,0.00,0.673,-0.000,0.000,0.000
6.189,takeoff,0.000,0.001,2.533,0.000,-0.000,0.678,0.000,0.001,2.535,0.00,-0.00,0.00,0.673,-0.000,0.000,0.000
6.239,takeoff,0.000,0.001,2.533,0.000,-0.000,0.678,0.000,0.001,2.569,0.00,-0.00,0.00,0.674,-0.000,0.000,0.000
6.290,takeoff,0.000,0.001,2.598,0.000,-0.000,0.633,0.000,0.001,2.601,0.00,-0.00,0.00,0.674,-0.000,0.000,0.000
6.344,takeoff,0.000,0.001,2.598,0.000,-0.000,0.633,0.000,0.001,2.633,0.00,-0.00,0.00,0.675,-0.000,0.000,0.000
6.398,takeoff,0.000,0.000,2.659,0.000,-0.000,0.590,0.000,0.000,2.663,0.00,-0.00,0.00,0.676,-0.000,0.000,0.000
6.451,takeoff,0.000,0.000,2.659,0.000,-0.000,0.590,0.000,0.000,2.702,0.00,-0.00,0.00,0.677,-0.000,0.000,0.000
6.502,takeoff,0.000,0.000,2.716,0.000,-0.000,0.548,0.000,0.000,2.730,0.00,-0.00,0.00,0.677,-0.000,0.000,0.000
6.554,takeoff,0.000,0.000,2.716,0.000,-0.000,0.548,0.000,0.000,2.757,0.00,-0.00,0.00,0.678,-0.000,0.000,0.000
6.608,takeoff,0.000,0.000,2.769,0.000,-0.000,0.509,0.000,0.000,2.783,0.00,-0.00,0.00,0.679,-0.000,0.000,0.000
6.662,takeoff,0.000,0.000,2.769,0.000,-0.000,0.509,0.000,0.000,2.808,0.00,-0.00,0.00,0.680,-0.000,0.000,0.000
6.714,takeoff,0.000,0.000,2.818,0.000,-0.000,0.472,0.000,0.000,2.832,0.00,-0.00,0.00,0.680,-0.000,0.000,0.000
6.764,takeoff,0.000,0.000,2.818,0.000,-0.000,0.472,0.000,0.000,2.855,0.00,-0.00,0.00,0.681,-0.000,0.000,0.000
6.818,takeoff,0.000,0.000,2.864,0.000,-0.000,0.438,0.000,0.000,2.877,0.00,-0.00,0.00,0.682,-0.000,0.000,0.000
6.869,takeoff,0.000,0.000,2.864,0.000,-0.000,0.438,0.000,0.000,2.899,0.00,-0.00,0.00,0.683,-0.000,0.000,0.000
6.920,takeoff,0.000,0.000,2.906,0.000,-0.000,0.404,0.000,0.000,2.919,0.00,-0.00,0.00,0.684,-0.000,0.000,0.000
6.975,takeoff,0.000,0.000,2.945,0.000,-0.000,0.374,0.000,0.000,2.939,0.00,-0.00,0.00,0.685,-0.000,0.000,0.000
7.028,takeoff,0.000,0.000,2.945,0.000,-0.000,0.374,0.000,0.000,2.964,0.00,-0.00,0.00,0.686,-0.000,0.000,0.000
7.083,takeoff,0.000,0.000,2.981,-0.000,-0.000,0.347,0.000,0.000,2.982,0.00,-0.00,0.00,0.687,-0.000,0.000,0.000
7.134,takeoff,0.000,0.000,2.981,-0.000,-0.000,0.347,0.000,0.000,2.999,0.00,-0.00,0.00,0.688,-0.000,0.000,0.000
7.185,takeoff,0.000,0.000,3.014,-0.000,-0.000,0.322,0.000,0.000,3.016,0.00,-0.00,0.00,0.688,-0.000,0.000,0.000
7.239,takeoff,0.000,0.000,3.014,-0.000,-0.000,0.322,0.000,0.000,3.032,0.00,-0.00,0.00,0.689,-0.000,0.000,0.000
7.290,takeoff,0.000,0.000,3.045,-0.000,-0.000,0.301,0.000,0.000,3.048,0.00,-0.00,0.00,0.690,-0.000,0.000,0.000
7.341,takeoff,0.000,0.000,3.045,-0.000,-0.000,0.301,0.000,0.000,3.063,0.00,-0.00,0.00,0.691,-0.000,0.000,0.000
7.391,takeoff,0.000,0.000,3.074,-0.000,-0.000,0.282,0.000,0.000,3.077,0.00,-0.00,0.00,0.691,-0.000,0.000,0.000
7.446,takeoff,0.000,0.000,3.074,-0.000,-0.000,0.282,0.000,0.000,3.091,0.00,-0.00,0.00,0.692,-0.000,0.000,0.000
7.498,takeoff,0.000,0.000,3.102,-0.000,-0.000,0.265,0.000,0.000,3.105,0.00,-0.00,0.00,0.692,-0.000,0.000,0.000
7.550,takeoff,0.000,0.000,3.102,-0.000,-0.000,0.265,0.000,0.000,3.118,0.00,-0.00,0.00,0.693,-0.000,0.000,0.000
7.600,takeoff,0.000,0.000,3.127,-0.000,-0.000,0.249,0.000,0.000,3.131,0.00,-0.00,0.00,0.693,0.000,0.000,0.000
7.651,takeoff,0.000,0.000,3.127,-0.000,-0.000,0.249,0.000,0.000,3.143,0.00,-0.00,0.00,0.694,0.000,0.000,0.000
7.706,takeoff,0.000,0.000,3.151,-0.000,-0.000,0.234,0.000,0.000,3.155,0.00,-0.00,0.00,0.694,0.000,0.000,0.000
7.757,takeoff,0.000,0.000,3.151,-0.000,-0.000,0.234,0.000,0.000,3.167,0.00,-0.00,0.00,0.695,0.000,0.000,0.000
7.807,takeoff,0.000,0.000,3.174,-0.000,-0.000,0.220,0.000,0.000,3.178,0.00,-0.00,0.00,0.695,0.000,0.000,0.000
7.857,takeoff,0.000,0.000,3.174,-0.000,-0.000,0.220,0.000,0.000,3.189,0.00,-0.00,0.00,0.695,0.000,0.000,0.000
7.912,takeoff,0.000,0.000,3.195,-0.000,-0.000,0.208,0.000,0.000,3.203,0.00,-0.00,0.00,0.696,0.000,0.000,0.000
7.962,takeoff,0.000,0.000,3.195,-0.000,-0.000,0.208,0.000,0.000,3.213,0.00,-0.00,0.00,0.696,0.000,0.000,0.000
8.013,takeoff,0.000,0.000,3.216,-0.000,-0.000,0.197,0.000,0.000,3.220,0.00,-0.00,0.00,0.697,0.000,0.000,0.000
8.064,takeoff,0.000,0.000,3.216,-0.000,-0.000,0.197,0.000,0.000,3.230,0.00,-0.00,0.00,0.697,0.000,0.000,0.000
8.117,takeoff,0.000,0.000,3.235,-0.000,-0.000,0.187,0.000,0.000,3.242,0.00,-0.00,0.00,0.697,-0.000,0.000,0.000
8.168,takeoff,0.000,0.000,3.235,-0.000,-0.000,0.187,0.000,0.000,3.252,0.00,-0.00,0.00,0.698,-0.000,0.000,0.000
